Simulation Output File

----------------------

Fday  ID  Rday  Wdays  Mdur   Tdays
91    37    44    0    29    47
77    28    33    0    28    44
69    32    38    0    21    31
63    15    17    0    30    46
58    39    46    0    10    12
58    21    24    0    18    34
57    36    43    0    12    14
57    34    40    0    13    17
56    19    22    0    22    34
55    41    49    0    4    6
54    40    47    0    5    7
54    38    45    0    7    9
49    26    30    0    15    19
48    30    35    0    9    13
47    33    39    0    6    8
47    31    37    0    8    10
47    11    12    0    25    35
46    35    41    0    3    5
46    24    28    0    14    18
44    6    6    0    20    38
41    29    34    0    5    7
40    23    27    0    11    13
38    27    32    0    4    6
37    25    29    0    6    8
36    8    8    0    16    28
35    17    19    0    12    16
29    22    25    0    2    4
28    20    23    0    3    5
28    18    21    0    5    7
28    16    18    0    8    10
26    12    13    0    9    13
25    14    16    0    7    9
23    10    11    0    10    12
22    4    3    0    15    19
21    13    14    0    5    7
17    9    9    0    6    8
17    7    7    0    8    10
16    2    2    0    12    14
13    1    1    0    10    12
10    5    4    0    4    6
9    3    2    0    5    7

----------------------

Missions: 41 [Done: 41, Aborted: 0]
Rovers: 30 [D: 5, P: 10, N: 15]
Avg Wdays = 0, Avg MDUR = 11.2683, Avg Tdays = 16.2927
% Avg_Wdays / Avg_MDUR = 0%, Auto-aborted = 0%
